,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
35,33,327.7203284802666,249.71282534441042,502.42287643562145,237.50994106290716,62.73849795645257,178.45414740797662,102.0495860852995,163.79409037648512,67.81316308793646,54.39130738883843,49.384335236925835,18.25364934262315,264.33920519672085,205.00555088627067,246.37970266439223,198.60152168065733,40.0,165.44702592936505,172.68801848331043,True,True,False,False,False,28.0
36,34,327.7203284802666,246.15239402165832,502.42287643562145,240.2740559496455,62.88186792964463,178.45414740797662,97.42995501182081,163.79409037648512,66.79603721170301,54.69680176546865,49.384335236925835,21.89719542310727,264.33920519672085,199.80655144070957,246.37970266439223,194.91080930817745,40.0,165.44702592936505,162.51996704693983,False,False,False,False,False,28.0
37,35,327.7203284802666,247.98923797857924,502.42287643562145,242.87965757368445,62.807902658308294,178.45414740797662,96.88224268751533,163.79409037648512,65.85518054316061,54.73302176495021,49.384335236925835,22.100294743609975,264.33920519672085,199.98797495549792,246.37970266439223,198.58383404026162,40.0,165.44702592936505,162.5979300425187,False,False,False,False,False,28.0
38,36,327.7203284802666,250.37096183978537,502.42287643562145,243.99835997082917,62.711996388764504,178.45414740797662,94.56270088239485,163.79409037648512,68.8633693916444,54.88641214754832,49.384335236925835,20.153784146190528,264.33920519672085,198.62107450323046,246.37970266439223,200.68382704102265,40.0,165.44702592936505,160.00494871639685,False,False,False,False,False,28.0
39,37,327.7203284802666,248.22515000257008,502.42287643562145,243.64327799313335,62.79840305067954,178.45414740797662,93.81837915203344,163.79409037648512,70.37618164113232,54.93563384932761,49.384335236925835,17.564261369530772,264.33920519672085,199.580179358159,246.37970266439223,201.94978787223695,40.0,165.44702592936505,160.137808223455,False,False,False,False,False,28.0
40,38,327.7203284802666,248.51362598926576,502.42287643562145,244.59400090725904,62.78678681918118,178.45414740797662,91.76099373584172,163.79409037648512,72.42158971031675,55.07168793356302,49.384335236925835,19.72452579279845,264.33920519672085,198.63666322582483,246.37970266439223,204.71967468177712,40.0,165.44702592936505,156.71957696078184,False,False,False,False,False,28.0
41,39,327.7203284802666,247.1561672612371,502.42287643562145,245.92145165992093,62.841448404760186,178.45414740797662,91.33754466868305,163.79409037648512,73.0599996771079,55.09969045297392,49.384335236925835,19.57998628157471,264.33920519672085,194.1951563304115,246.37970266439223,203.83399623638272,40.0,165.44702592936505,155.03270608315364,False,False,False,False,False,28.0
42,40,327.7203284802666,248.29603288858425,502.42287643562145,247.30788760551656,62.7955487679968,178.45414740797662,91.08944112686883,163.79409037648512,74.52428171283464,55.116097442112384,49.384335236925835,21.766826313483392,264.33920519672085,194.84278621041224,246.37970266439223,208.0999151540963,40.0,165.44702592936505,154.4883689741376,False,False,False,False,False,28.0
43,41,327.7203284802666,253.93653329972483,502.42287643562145,247.28793059878151,62.568419434658075,178.45414740797662,105.65734778170042,163.79409037648512,77.18994241456477,54.152727534096385,49.384335236925835,22.0427783174578,264.33920519672085,202.88997501945977,246.37970266439223,207.08935675660248,40.0,165.44702592936505,176.1782091954501,True,False,False,False,False,28.0
44,42,327.7203284802666,253.83432029482464,502.42287643562145,247.73963636848228,62.572535305586065,178.45414740797662,106.0672438266238,163.79409037648512,79.74606706236867,54.12562127068804,49.384335236925835,21.549443674898423,264.33920519672085,202.32216570145198,246.37970266439223,207.8780050970511,40.0,165.44702592936505,175.58211333407175,True,False,False,False,False,28.0
45,43,327.7203284802666,252.84882845804222,502.42287643562145,248.19555050383286,62.61221868251784,178.45414740797662,95.6896171121815,163.79409037648512,80.88476955812956,54.81188962277149,49.384335236925835,21.183097114916688,264.33920519672085,196.23763191368113,246.37970266439223,207.38112086068608,40.0,165.44702592936505,157.10278982253416,False,False,False,False,False,28.0
